loop_id	category	n_genes	genes	in_dualhigh17	tier	mean_d	mean_coex	n_active
PFL_MYC_003	PFL_MYC	2	RPL22L1,MYC			0.861	0.202	2
PFL_MYC_004	PFL_MYC	3	EHD1,CTNNB1,MYC			0.556	0.186	4
PFL_MYC_005	PFL_MYC	2	MYC,LARP1			0.794	0.218	3
PFL_MYC_006	PFL_MYC	3	MYC,LINC00460,FUS			1.159	0.043	4
PFL_MYC_008	PFL_MYC	4	MYC,LINC00460,CD47,CD274				
PFL_MYC_009	PFL_MYC	3	MYC,MNX1-AS1,IGF2BP1			0.699	0.145	4
PFL_MYC_011	PFL_MYC	2	MYC,FOXO3			0.148	0.144	2
PFL_MYC_012	PFL_MYC	2	MYC,SNRPD2			0.91	0.24	4
PFL_MYC_013	PFL_MYC	3	MYC,E2F1,SNHG15			1.233	0.273	4
PFL_MYC_015	PFL_MYC	3	MYC,CDCA3,TRIM28			1.298	0.272	5
PFL_MYC_017	PFL_MYC	2	MYC,IGF2BP3			0.928	0.005	3
PFL_MYC_018	PFL_MYC	2	PLEK2,MYC			0.806	0.016	4
PFL_MYC_020	PFL_MYC	2	MYC,SRSF1			0.889	0.175	3
PFL_MYC_021	PFL_MYC	2	MYC,CPT1A			-0.231	0.163	1
PFL_MYC_022	PFL_MYC	2	MYC,SERPINH1			1.266	-0.017	5
PFL_MYC_023	PFL_MYC	2	MYC,KLF16			0.397	0.315	2
PFL_MYC_024	PFL_MYC	4	RPLP0,JAK2,STAT3,MYC			0.502	0.094	3
PFL_MYC_025	PFL_MYC	2	FGFR3,MYC			0.083	0.028	2
PFL_NFKB_001	PFL_NFKB	2	PLD1,NFKB1			-0.095	0.127	1
PFL_NFKB_002	PFL_NFKB	3	AKT1,MTOR,NFKB1			0.26	0.361	2
PFL_NFKB_003	PFL_NFKB	3	PTEN,AKT1,NFKB1			0.022	0.228	2
PFL_PI3K_002	PFL_PI3K	3	USP22,FKBP1A,MTOR			0.498	0.181	2
